"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
8.098,1.571897136,13.333,2.359077215,13.365,2.344990549,
8.118,1.582606731,13.37,2.358576536,13.398,2.344002368,
8.138,1.593224648,13.391,2.35895133,13.431,2.346494975,
8.158,1.603743781,13.43,2.361111403,13.466,2.346494975,
8.178,1.614149999,13.466,2.363874197,13.498,2.333407969,
8.198,1.624434447,13.501,2.367909193,13.529,2.333407969,
8.218,1.634611575,13.533,2.371269941,13.568,2.338719256,
8.238,1.644691051,13.552,2.373011351,13.601,2.343239868,
8.258,1.654673208,13.597,2.375963211,13.631,2.343239868,
8.278,1.664545466,13.618,2.377162218,13.664,2.343239868,
8.298,1.674304575,13.666,2.379076958,13.698,2.346239065,
8.318,1.68395697,13.704,2.380667925,13.732,2.351854855,
8.338,1.693506937,13.721,2.381523132,13.766,2.351854855,
8.358,1.702966421,13.766,2.380965233,13.799,2.351315744,
8.378,1.712339691,13.802,2.380582571,13.832,2.351315744,
8.398,1.721620397,13.819,2.380338192,13.865,2.350216548,
8.418,1.730808298,13.858,2.378752947,13.9,2.349179583,
8.438,1.739898332,13.89,2.378551245,13.933,2.349097504,
8.458,1.748870957,13.924,2.377757311,13.969,2.347868936,
8.478,1.757723962,13.967,2.377509117,13.998,2.347868936,
