"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
16.436,2.356891843e-05,
16.488,2.356891843e-05,
16.518,2.356891843e-05,
16.538,2.356891843e-05,
16.571,2.356891843e-05,
16.601,2.356891843e-05,
16.635,2.356891843e-05,
16.673,3.110781908e-05,
16.717,3.110781908e-05,
16.735,3.110781908e-05,
16.767,3.110781908e-05,
16.802,3.110781908e-05,
16.834,3.110781908e-05,
16.871,3.057409446e-05,
16.908,3.057409446e-05,
16.934,3.057409446e-05,
16.968,2.236851187e-05,
16.999,2.236851187e-05,
17.034,2.236851187e-05,
17.068,2.236851187e-05,
17.101,2.236851187e-05,
17.139,3.328287456e-05,
17.169,3.328287456e-05,
17.214,3.328287456e-05,
17.237,3.328287456e-05,
17.276,2.266660629e-05,
17.302,2.266660629e-05,
17.336,2.266660629e-05,
17.367,2.266660629e-05,
17.409,2.266660629e-05,
17.442,2.866563205e-05,
17.468,2.866563205e-05,
17.501,2.866563205e-05,
17.534,2.866563205e-05,
17.57,2.95022831e-05,
17.605,2.95022831e-05,
17.64,2.95022831e-05,
17.673,2.95022831e-05,
17.7,2.05853135e-05,
17.735,2.05853135e-05,
17.767,2.05853135e-05,
17.799,3.682149889e-05,
17.834,3.682149889e-05,
17.867,3.682149889e-05,
17.898,3.682149889e-05,
17.932,3.156650239e-05,
17.961,3.156650239e-05,
18,3.156650239e-05,
18.034,3.156650239e-05,
18.07,3.156650239e-05,
18.101,3.156650239e-05,
18.135,3.0184505e-05,
18.17,3.0184505e-05,
18.206,3.0184505e-05,
18.234,3.225136641e-05,
18.271,3.225136641e-05,
18.303,3.225136641e-05,
18.337,3.225136641e-05,
18.371,3.225136641e-05,
18.411,3.101879552e-05,
18.445,3.101879552e-05,
18.473,3.101879552e-05,
18.504,3.101879552e-05,
18.535,2.96499813e-05,
18.567,2.96499813e-05,
18.604,2.96499813e-05,
18.633,2.96499813e-05,
18.67,3.602387255e-05,
18.7,3.602387255e-05,
18.739,3.602387255e-05,
18.766,2.597529182e-05,
18.807,2.597529182e-05,
18.84,2.597529182e-05,
18.897,3.398255947e-05,
18.9,3.398255947e-05,
18.935,3.398255947e-05,
18.971,3.398255947e-05,
19.001,3.398255947e-05,
19.042,3.212313724e-05,
19.067,3.212313724e-05,
19.099,3.212313724e-05,
19.139,3.212313724e-05,
19.167,2.969498092e-05,
19.2,2.969498092e-05,
19.24,2.969498092e-05,
19.271,2.969498092e-05,
19.301,3.263124717e-05,
19.335,3.263124717e-05,
19.368,3.263124717e-05,
19.401,2.748278785e-05,
19.435,2.748278785e-05,
19.473,2.748278785e-05,
19.508,2.748278785e-05,
19.536,2.867690674e-05,
19.572,2.867690674e-05,
19.601,2.867690674e-05,
19.635,2.867690674e-05,
19.667,3.625510645e-05,
19.717,3.625510645e-05,
19.735,3.625510645e-05,
19.767,3.625510645e-05,
19.8,2.835818124e-05,
19.835,2.835818124e-05,
19.867,3.032503361e-05,
19.898,3.032503361e-05,
19.933,2.855855475e-05,
19.967,2.855855475e-05,
20,2.855855475e-05,
20.034,2.984394048e-05,
20.068,2.984394048e-05,
20.1,2.984394048e-05,
20.134,2.679768402e-05,
20.166,2.679768402e-05,
20.2,2.679768402e-05,
20.234,2.679768402e-05,
20.267,3.1023169e-05,
20.301,3.1023169e-05,
20.335,3.1023169e-05,
20.366,2.544734219e-05,
20.4,2.544734219e-05,
20.437,2.544734219e-05,
20.467,2.544734219e-05,
20.501,2.759023924e-05,
20.534,2.759023924e-05,
20.562,2.759023924e-05,
20.602,2.759023924e-05,
20.635,3.428118657e-05,
20.666,3.428118657e-05,
20.7,3.428118657e-05,
20.736,3.428118657e-05,
20.767,2.621313808e-05,
20.812,2.621313808e-05,
20.835,2.621313808e-05,
20.867,2.621313808e-05,
20.902,2.621313808e-05,
20.936,2.733930194e-05,
20.967,2.733930194e-05,
21,2.733930194e-05,
21.033,2.733930194e-05,
21.065,2.733930194e-05,
21.1,2.733930194e-05,
21.135,3.367980371e-05,
21.167,3.367980371e-05,
21.2,3.367980371e-05,
21.235,2.515394997e-05,
21.265,2.515394997e-05,
21.299,2.515394997e-05,
21.334,2.515394997e-05,
21.372,2.515394997e-05,
21.406,3.350357258e-05,
21.435,3.350357258e-05,
21.468,3.350357258e-05,
21.501,3.350357258e-05,
21.535,3.173054532e-05,
21.568,3.173054532e-05,
21.6,3.173054532e-05,
21.634,3.173054532e-05,
21.667,3.28186151e-05,
21.701,3.28186151e-05,
21.735,3.28186151e-05,
21.767,3.28186151e-05,
21.8,3.045864984e-05,
21.834,3.045864984e-05,
21.867,3.045864984e-05,
21.9,2.505123135e-05,
21.934,2.505123135e-05,
21.967,2.505123135e-05,
22.018,2.505123135e-05,
22.039,2.505123135e-05,
22.07,2.505123135e-05,
22.1,2.990703354e-05,
22.134,2.990703354e-05,
22.168,2.990703354e-05,
22.201,2.747246237e-05,
22.236,2.747246237e-05,
22.269,2.690196875e-05,
22.299,2.690196875e-05,
22.334,2.690196875e-05,
22.367,2.690196875e-05,
22.4,2.757343606e-05,
22.437,2.757343606e-05,
22.467,2.757343606e-05,
22.511,2.757343606e-05,
22.533,2.757343606e-05,
22.567,2.807561751e-05,
22.602,2.807561751e-05,
22.637,2.807561751e-05,
22.669,2.807561751e-05,
22.712,2.916076569e-05,
22.732,2.916076569e-05,
22.775,2.916076569e-05,
22.805,2.916076569e-05,
22.838,2.916076569e-05,
22.874,2.600458066e-05,
22.907,2.600458066e-05,
22.935,2.600458066e-05,
22.967,2.845480623e-05,
23,2.845480623e-05,
23.038,2.672694852e-05,
23.106,2.672694852e-05,
23.106,2.672694852e-05,
23.138,2.672694852e-05,
23.168,2.672694852e-05,
23.206,2.672694852e-05,
23.234,2.672694852e-05,
23.267,2.672694852e-05,
23.303,2.308788982e-05,
23.335,2.308788982e-05,
23.365,2.308788982e-05,
23.402,2.308788982e-05,
23.436,2.339915477e-05,
23.469,2.339915477e-05,
23.5,2.339915477e-05,
23.535,2.339915477e-05,
23.567,2.095502783e-05,
23.6,2.095502783e-05,
23.638,2.095502783e-05,
23.667,2.298066872e-05,
23.7,2.298066872e-05,
23.734,2.298066872e-05,
23.767,2.298066872e-05,
23.8,2.298066872e-05,
23.835,2.460955794e-05,
23.868,2.460955794e-05,
23.9,2.460955794e-05,
23.937,2.460955794e-05,
23.968,2.016375012e-05,
24.011,2.016375012e-05,
24.034,2.016375012e-05,
24.068,2.016375012e-05,
24.102,2.349793988e-05,
24.136,2.349793988e-05,
24.168,2.349793988e-05,
24.2,2.349793988e-05,
24.234,2.349793988e-05,
24.268,1.775265031e-05,
24.304,1.775265031e-05,
24.335,1.775265031e-05,
24.368,1.893137814e-05,
24.4,1.893137814e-05,
24.436,1.893137814e-05,
24.475,1.408922473e-05,
24.507,1.408922473e-05,
24.535,1.408922473e-05,
24.568,1.408922473e-05,
24.607,1.408922473e-05,
24.636,1.408922473e-05,
24.666,1.495460427e-05,
24.7,1.495460427e-05,
24.734,1.495460427e-05,
24.771,1.010529506e-05,
24.805,1.010529506e-05,
24.841,1.010529506e-05,
24.868,1.010529506e-05,
24.901,1.010529506e-05,
24.939,1.010529506e-05,
24.967,1.839296333e-05,
24.997,1.839296333e-05,
25.033,1.839296333e-05,
25.066,1.839296333e-05,
25.1,1.676819179e-05,
25.135,1.676819179e-05,
25.168,1.697838275e-05,
25.202,1.697838275e-05,
25.245,1.697838275e-05,
25.271,1.697838275e-05,
25.3,1.697838275e-05,
25.334,2.201403734e-05,
25.366,2.201403734e-05,
25.4,2.201403734e-05,
25.434,1.948562518e-05,
25.468,1.948562518e-05,
25.501,1.948562518e-05,
25.534,1.686876857e-05,
25.569,1.686876857e-05,
25.614,1.686876857e-05,
25.635,2.569516362e-05,
25.673,2.569516362e-05,
25.708,2.569516362e-05,
25.735,2.569516362e-05,
25.763,2.569516362e-05,
25.799,2.211496889e-05,
25.834,2.211496889e-05,
25.866,2.211496889e-05,
25.905,2.587320824e-05,
25.941,2.587320824e-05,
25.967,2.587320824e-05,
26,2.053421243e-05,
26.034,2.053421243e-05,
26.072,2.053421243e-05,
26.104,2.053421243e-05,
26.142,2.146290989e-05,
26.164,2.146290989e-05,
26.205,2.146290989e-05,
26.237,2.146290989e-05,
26.269,2.146290989e-05,
26.302,2.146290989e-05,
26.347,1.988358144e-05,
26.369,1.988358144e-05,
26.401,1.988358144e-05,
26.434,1.988358144e-05,
26.469,2.171721684e-05,
26.505,2.171721684e-05,
26.534,2.171721684e-05,
26.568,2.171721684e-05,
26.608,1.748731145e-05,
26.635,1.748731145e-05,
26.665,1.748731145e-05,
26.7,1.748731145e-05,
26.733,2.080578388e-05,
26.767,2.080578388e-05,
26.794,2.080578388e-05,
26.835,2.080578388e-05,
26.869,2.080578388e-05,
26.901,1.282264604e-05,
26.934,1.282264604e-05,
26.967,1.282264604e-05,
27.001,1.282264604e-05,
27.034,1.699830231e-05,
27.067,1.699830231e-05,
27.1,1.699830231e-05,
27.133,1.699830231e-05,
27.167,1.829458928e-05,
27.2,1.829458928e-05,
27.234,1.829458928e-05,
27.267,1.829458928e-05,
27.295,1.83468702e-05,
