"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
6.77,0.3000000001,0.005921791308,0.009977976178,
6.79,0.3000000001,-0.01075095311,0.006256293574,
6.81,0.3000000001,-0.03921988606,-0.03540940307,
6.83,0.3000000001,-0.06828175485,-0.0389060191,
6.85,0.3000000001,-0.08941949159,-0.08518628251,
6.87,0.3000000001,-0.1489117295,-0.1723134803,
6.89,0.3000000001,-0.2031031847,-0.1796252795,
6.91,0.3000000001,-0.2537631691,-0.247542604,
6.93,0.3000000001,-0.2931287289,-0.2532422756,
6.95,0.3000000001,-0.3346219957,-0.3086647263,
6.97,0.3000000001,-0.3504558504,-0.3634917873,
6.99,0.3000000001,-0.3843146563,-0.3680959845,
7.01,0.3000000001,-0.4093722105,-0.4059126917,
7.03,0.3000000001,-0.4185862839,-0.4090863083,
7.05,0.3,-0.4210641086,-0.4200458968,
7.07,0.2999945631,-0.4350002408,-0.4396422297,
7.09,0.2999945736,-0.4481088221,-0.4412867761,
7.11,0.2999945747,-0.4701441526,-0.467725733,
7.13,0.2999957521,-0.5103266835,-0.4699444827,
7.15,0.2999952559,-0.5314677954,-0.5263080369,
7.17,0.2999952586,-0.5726963878,-0.5310380837,
7.19,0.2999952582,-0.5981342196,-0.5925084076,
7.21,0.2999952676,-0.6359434724,-0.6491123139,
7.23,0.2999952903,-0.6722784638,-0.6538625937,
7.25,0.2999953041,-0.683160305,-0.6890321083,
7.27,0.2999953076,-0.7006012797,-0.6919734248,
7.29,0.2999953033,-0.7284292579,-0.7253647118,
7.31,0.2999953067,-0.7499022484,-0.7281666858,
7.33,0.2999953238,-0.7835048437,-0.7631431975,
7.35,0.2999953152,-0.8274029493,-0.8220263084,
7.37,0.299995316,-0.845055759,-0.8269677939,
7.39,0.2999953306,-0.8781706095,-0.8628095661,
7.41,0.2999953298,-0.8917783499,-0.8893288955,
7.43,0.2999953377,-0.8984048367,-0.8915545509,
7.45,0.2999957289,-0.9184414148,-0.9033807777,
7.47,0.2999999999,-0.9319286346,-0.9043732481,
7.49,0.3,-0.94792068,-0.9406564915,
7.51,0.3,-0.9721618295,-0.9875673698,
7.53,0.3,-1.017433763,-0.9915041066,
7.55,0.3,-1.040911078,-1.066064925,
7.57,0.3,-1.096590757,-1.072308741,
7.59,0.3,-1.149272799,-1.142814521,
7.61,0.3,-1.184086084,-1.148731408,
7.63,0.3,-1.221718192,-1.198009794,
7.65,0.3,-1.225850463,-1.229511471,
7.67,0.3,-1.236676335,-1.232147099,
7.69,0.3,-1.233245492,-1.217381349,
7.71,0.3,-1.203358531,-1.216142172,
7.73,0.3,-1.152526498,-1.157861041,
7.75,0.3,-1.125011444,-1.152970058,
7.77,0.2999999998,-1.105641484,-1.109609128,
7.79,0.3,-1.077479362,-1.105965403,
7.81,0.2999935778,-1.038120508,-1.043805,
7.83,0.2999935806,-0.9667449594,-1.03858847,
7.85,0.2999935814,-0.893004775,-0.9403497773,
7.87,0.2999935789,-0.8518903852,-0.8260985006,
7.89,0.2999935725,-0.8156223297,-0.8165104883,
7.91,0.2999935741,-0.7461965084,-0.8157058007,
7.93,0.2999935786,-0.7034136653,-0.7128461387,
7.95,0.2999935782,-0.6718223095,-0.704214102,
7.97,0.2999935822,-0.5975642204,-0.6065231681,
7.99,0.2999935745,-0.5501566529,-0.5983249193,
8.01,0.2999935673,-0.5179741979,-0.5367636101,
8.03,0.2999935784,-0.5171854496,-0.5228402508,
8.05,0.2999935737,-0.527846396,-0.521671793,
8.07,0.299993573,-0.5488951802,-0.5466026122,
8.09,0.2999935683,-0.5675839782,-0.5486947896,
8.11,0.2999935659,-0.579818964,-0.5727215884,
8.13,0.2999935655,-0.5917823315,-0.6073918251,
8.15,0.2999935641,-0.6319317222,-0.6103013724,
8.17,0.2999935761,-0.6882740855,-0.6817243678,
8.19,0.3000000011,-0.7510941029,-0.6877413968,
8.21,0.2999965058,-0.7724167109,-0.7653277237,
8.23,0.3000000001,-0.8094425797,-0.7718387986,
8.25,0.3,-0.8248813152,-0.8186179173,
8.27,0.3000000001,-0.825330615,-0.8276838457,
8.29,0.3000000001,-0.8312348723,-0.8284272437,
8.31,0.3,-0.8276681304,-0.827722259,
8.33,0.3,-0.8342280388,-0.8276632563,
8.35,0.3,-0.8377997279,-0.8349264655,
8.37,0.3,-0.8374736309,-0.8422482267,
8.39,0.3,-0.8506254554,-0.8428626311,
8.41,0.3,-0.8808856606,-0.8777111747,
8.43,0.3,-0.9017444849,-0.8806356286,
8.45,0.3,-0.9378871322,-0.933066394,
8.47,0.3,-0.972707808,-0.9827774259,
8.49,0.3,-0.9965940118,-0.9869491736,
8.51,0.3,-1.016693711,-1.014208915,
8.53,0.3,-1.018687248,-1.016496533,
8.55,0.3,-1.024641156,-1.023968988,
8.57,0.3,-1.050049543,-1.024596066,
8.59,0.3,-1.060240746,-1.05167302,
8.61,0.3000000001,-1.054445386,-1.056646964,
8.63,0.3,-1.05021441,-1.057064387,
8.65,0.3000000001,-1.020739079,-1.023769598,
8.67,0.3,-0.9744743109,-0.9786213942,
8.69,0.3000000001,-0.9422985315,-0.974832541,
8.71,0.3,-0.9268779159,-0.932103439,
8.73,0.3,-0.8987438083,-0.9285176434,
8.75,0.2999941631,-0.8877897859,-0.8911960829,
8.77,0.3,-0.8568097949,-0.888064078,
8.79,0.2999999999,-0.8211639524,-0.8437227838,
8.81,0.3000000001,-0.7994058728,-0.7817881571,
8.83,0.3,-0.7335883975,-0.7765905741,
8.85,0.3000000001,-0.6740840077,-0.7109869376,
8.87,0.3,-0.6402205229,-0.6157666679,
8.89,0.3,-0.5629351139,-0.6077856365,
8.91,0.3,-0.4863070846,-0.4937228893,
8.93,0.3,-0.3877488673,-0.4841506918,
8.95,0.3,-0.3134922087,-0.3588353384,
8.97,0.3,-0.2875557542,-0.2712924787,
8.99,0.3000000001,-0.2356408536,-0.263945924,
9.01,0.3,-0.1772042513,-0.1844760724,
9.03,0.3,-0.1401202232,-0.1778068899,
9.05,0.3,-0.1260695606,-0.1304036811,
9.07,0.3,-0.08984690905,-0.1264628662,
