"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
14.994,4.928308279e-05,
15.027,4.928308279e-05,
15.061,4.928308279e-05,
15.094,3.332629322e-05,
15.127,3.332629322e-05,
15.161,3.332629322e-05,
15.194,3.504561072e-05,
15.227,3.504561072e-05,
15.262,3.504561072e-05,
15.298,3.504561072e-05,
15.329,4.05694502e-05,
15.371,4.05694502e-05,
15.411,4.05694502e-05,
15.433,3.286616562e-05,
15.466,3.286616562e-05,
15.513,3.286616562e-05,
15.527,3.286616562e-05,
15.561,3.286616562e-05,
15.594,4.637129987e-05,
15.627,4.637129987e-05,
15.661,4.637129987e-05,
15.694,4.637129987e-05,
15.726,4.637129987e-05,
15.763,3.279992483e-05,
15.809,3.279992483e-05,
15.827,3.279992483e-05,
15.862,3.279992483e-05,
15.894,3.279992483e-05,
15.927,3.377711652e-05,
15.961,3.377711652e-05,
15.995,3.377711652e-05,
16.032,4.384814438e-05,
16.062,4.384814438e-05,
16.094,4.604098158e-05,
16.132,4.604098158e-05,
16.167,4.604098158e-05,
16.194,4.604098158e-05,
16.227,4.604098158e-05,
16.263,3.70073829e-05,
16.295,3.70073829e-05,
16.325,3.70073829e-05,
16.358,3.70073829e-05,
16.394,4.295340322e-05,
16.427,4.295340322e-05,
16.461,4.295340322e-05,
16.494,3.535461721e-05,
16.529,3.535461721e-05,
16.561,3.535461721e-05,
16.594,3.349175022e-05,
16.628,3.349175022e-05,
16.662,3.349175022e-05,
16.694,3.381200333e-05,
16.727,3.381200333e-05,
16.763,3.381200333e-05,
16.795,3.381200333e-05,
16.827,3.487589559e-05,
16.86,3.487589559e-05,
16.895,3.487589559e-05,
16.927,3.487589559e-05,
16.961,3.487589559e-05,
16.994,3.380692511e-05,
17.027,3.380692511e-05,
17.068,3.380692511e-05,
17.097,3.380692511e-05,
17.129,3.380692511e-05,
17.162,4.299332006e-05,
17.196,4.299332006e-05,
17.236,2.350450968e-05,
17.26,2.350450968e-05,
17.297,2.350450968e-05,
17.327,2.350450968e-05,
17.364,2.350450968e-05,
17.398,3.252935983e-05,
17.422,3.252935983e-05,
17.464,3.252935983e-05,
17.494,3.252935983e-05,
17.533,3.252935983e-05,
17.561,3.603880691e-05,
17.597,3.603880691e-05,
17.626,3.603880691e-05,
17.662,3.603880691e-05,
17.692,4.004194022e-05,
17.726,4.004194022e-05,
17.761,4.004194022e-05,
17.795,4.004194022e-05,
17.833,2.50533381e-05,
17.868,2.50533381e-05,
17.9,2.50533381e-05,
17.933,2.703470624e-05,
17.962,2.703470624e-05,
18.002,2.869251499e-05,
18.032,2.869251499e-05,
18.068,2.869251499e-05,
18.099,2.869251499e-05,
18.128,2.769292697e-05,
18.163,2.769292697e-05,
18.194,2.769292697e-05,
18.229,2.769292697e-05,
18.263,4.114272144e-05,
18.294,4.114272144e-05,
18.331,4.114272144e-05,
18.361,4.114272144e-05,
18.397,3.697702449e-05,
18.432,3.697702449e-05,
18.462,3.697702449e-05,
18.494,3.697702449e-05,
18.526,3.697702449e-05,
18.565,3.044655635e-05,
18.594,3.044655635e-05,
18.627,3.044655635e-05,
18.661,2.662728145e-05,
18.694,2.662728145e-05,
18.74,2.662728145e-05,
18.765,2.662728145e-05,
18.795,2.662728145e-05,
18.828,2.662728145e-05,
18.866,2.878383535e-05,
18.894,2.878383535e-05,
18.927,2.878383535e-05,
18.962,2.878383535e-05,
18.994,2.972050196e-05,
19.028,2.972050196e-05,
19.063,2.972050196e-05,
19.095,2.972050196e-05,
19.127,2.618321605e-05,
19.161,2.618321605e-05,
19.194,2.618321605e-05,
19.227,2.313493679e-05,
