"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
4.959,0.3000000011,-0.04996043444,-0.0487875089,
4.979,0.2999910014,-0.0525977537,-0.04985618607,
4.999,0.3000000002,-0.05117565766,-0.05204601796,
5.019,0.3000000001,-0.0504706502,-0.05222142589,
5.039,0.3000000001,-0.04528028518,-0.04919915269,
5.059,0.299998941,-0.03841679916,-0.03930774796,
5.079,0.299995756,-0.02738986351,-0.0385021534,
5.099,0.2999957491,-0.01409340277,-0.02320061703,
5.119,0.2999957412,-0.007557509001,-0.02191636007,
5.139,0.2999957306,0.008021647111,-0.0008264989839,
5.159,0.3,0.01509283762,0.0009435204671,
5.179,0.3,0.03106046841,0.02185809763,
5.199,0.2999951359,0.04733324796,0.02362309658,
5.219,0.2999951596,0.06343980879,0.04534332602,
5.239,0.2999951585,0.06857474893,0.0666249034,
5.259,0.2999951613,0.08089359105,0.06841077111,
5.279,0.299995176,0.09636701643,0.08709896806,
5.299,0.2999951743,0.1154803038,0.1131094016,
5.319,0.3000013475,0.1421269625,0.1152922348,
5.339,0.2999944859,0.172888428,0.1542370563,
5.359,0.299994479,0.2063932717,0.1574879842,
5.379,0.2999944878,0.2220315784,0.2022826471,
5.399,0.2999944834,0.2664445043,0.248480667,
5.419,0.2999944808,0.2928440571,0.2891228013,
5.439,0.3000000001,0.3158201575,0.2925332708,
5.459,0.2999938373,0.3442363441,0.3261525317,
5.479,0.2999938484,0.3567354083,0.3289736309,
5.499,0.2999938348,0.3807973266,0.3664610319,
5.519,0.2999938578,0.3949410617,0.3696065605,
5.539,0.2999938506,0.4204874337,0.4033766949,
5.559,0.2999938632,0.4346984029,0.4066044893,
5.579,0.3000000001,0.4612523317,0.4451479426,
5.599,0.2999950471,0.4944701493,0.4483612431,
5.619,0.2999950399,0.5077465177,0.4909303211,
5.639,0.29999504,0.5372440815,0.4944813034,
5.659,0.2999950401,0.5654548407,0.5363145796,
5.679,0.2999950445,0.5851513743,0.5833636208,
5.699,0.3,0.612074554,0.587012465,
5.719,0.3,0.6280577183,0.6263617389,
5.739,0.3000000077,0.657866478,0.6294377635,
5.759,0.2999951358,0.6911379695,0.6749023988,
5.779,0.2999951485,0.7098168731,0.6786105696,
5.799,0.2999951516,0.7446679473,0.7263675938,
5.819,0.2999951557,0.7755038738,0.7303112437,
5.839,0.2999951632,0.7938776612,0.7741842668,
5.859,0.2999952082,0.8242969513,0.8227626857,
5.879,0.2999951897,0.8531367779,0.8268343102,
5.899,0.2999951849,0.8854752183,0.8693782825,
5.919,0.2999951953,0.9206627607,0.9182850733,
5.939,0.2999951929,0.9523329735,0.9223910855,
5.959,0.2999950271,0.9634876251,0.9619680728,
5.979,0.2999950306,0.9900225997,0.9652912072,
5.999,0.2999950334,1.025175452,1.00727301,
6.019,0.2999978161,1.040626884,1.013821285,
6.039,0.2999947073,1.077946782,1.059548024,
6.059,0.2999947072,1.108714461,1.063387484,
6.079,0.2999947297,1.123125076,1.109874622,
6.099,0.3,1.158852816,1.161780092,
6.119,0.3,1.189762831,1.166127381,
6.139,0.2999999999,1.218860507,1.20919054,
6.159,0.299995455,1.247930765,1.212797619,
6.179,0.2999954695,1.279987812,1.245634073,
6.199,0.2999955003,1.297419071,1.293310504,
6.219,0.2999955121,1.3336097,1.29731041,
6.239,0.2999955101,1.3679111,1.345084111,
6.259,0.2999954987,1.395713925,1.392245471,
6.279,0.299995533,1.427451372,1.396203824,
6.299,0.2999956002,1.458573937,1.439202411,
6.319,0.2999955949,1.474838018,1.44281136,
6.339,0.2999955947,1.514019132,1.487333561,
6.359,0.299995582,1.543753505,1.538648981,
6.379,0.2999955935,1.577138186,1.542955988,
6.399,0.2999955895,1.616019368,1.589250587,
6.419,0.2999956027,1.640765429,1.593136329,
6.439,0.2999955494,1.658151031,1.641504335,
6.459,0.2999955879,1.68814981,1.685663872,
6.479,0.2999949113,1.720418334,1.689369813,
6.499,0.2999949033,1.749635577,1.733363148,
6.519,0.2999949044,1.773332953,1.735142825,
6.539,0.2999949083,1.790968537,1.769646489,
6.559,0.2999949126,1.804737091,1.801312662,
6.579,0.2999949148,1.828683496,1.803971974,
6.599,0.2999949169,1.852424145,1.834234585,
6.619,0.2999949193,1.879759789,1.836773365,
6.639,0.2999949217,1.904886842,1.876103895,
6.659,0.2999949235,1.932226419,1.918199275,
6.679,0.2999949249,1.938698769,1.921731207,
6.699,0.2999949263,1.954000711,1.952184572,
6.719,0.2999949275,1.971858144,1.954739722,
6.739,0.2999949287,1.983009696,1.981528134,
