"/ual/odom/pose/pose/position/z_x","/ual/odom/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
18.284,0.02062802203,-0.001905306077,
18.317,0.03105665557,0.01743624807,
18.35,0.03397224844,0.03184534965,
18.384,0.03057476506,0.03397327699,
18.417,0.0306677334,0.03093398913,
18.45,0.03095914237,0.0310018415,
18.484,0.02496104687,0.03121452452,
18.517,0.02746175043,0.02496104687,
18.55,0.03393424302,0.02678616983,
18.584,0.04068222269,0.0352943965,
18.617,0.04186020046,0.04021936755,
18.65,0.04186962545,0.04186274668,
18.684,0.03826037049,0.04186962545,
18.717,0.03852504492,0.03923543314,
18.75,0.04439329728,0.03852504492,
18.784,0.0460996069,0.04280795246,
18.817,0.0523273237,0.0470948209,
18.85,0.05462862551,0.05164008133,
18.884,0.0577561222,0.0559416337,
18.917,0.07379744947,0.05822421773,
18.95,0.07993746549,0.07545621294,
18.985,0.08543799073,0.07993746549,
19.017,0.08530808985,0.08395198966,
19.05,0.08302082866,0.08530808985,
19.084,0.08227802813,0.08363874648,
19.117,0.0810347572,0.08221804608,
19.15,0.0872213766,0.08131065251,
19.184,0.09394294024,0.08903724877,
19.217,0.1074020267,0.09394294024,
19.25,0.1157756001,0.1037659709,
19.284,0.1272747517,0.1157756001,
19.317,0.1557296515,0.1241681844,
19.351,0.171207726,0.1557296515,
19.384,0.2032363415,0.167026228,
19.417,0.2190307677,0.2044069013,
19.45,0.2341360897,0.2159343652,
19.484,0.2415868193,0.2346720273,
19.517,0.2432902902,0.2401098961,
19.55,0.2476872355,0.2413531637,
19.584,0.2535635829,0.2476872355,
19.617,0.2486261278,0.2519760511,
19.65,0.2401288748,0.2486261278,
19.684,0.2240959406,0.2424244605,
19.717,0.2105981559,0.2240959406,
19.75,0.182009846,0.2142446662,
19.785,0.1724743545,0.1810174328,
19.817,0.1639565378,0.1740580136,
19.85,0.1518197656,0.1618330564,
19.884,0.1461862922,0.1529751085,
19.917,0.144201234,0.1467337834,
19.95,0.1366153061,0.145285001,
19.984,0.1225546747,0.1340946589,
20.017,0.1251705438,0.1238325944,
20.05,0.1276666373,0.1261019363,
20.084,0.1309453994,0.1279236946,
20.117,0.1367338598,0.1303166788,
20.15,0.155052036,0.1390405683,
20.184,0.1701396555,0.1524099755,
20.217,0.209456265,0.1751620536,
20.251,0.2240445465,0.2038570368,
20.284,0.2373416573,0.2276368436,
20.317,0.2733623385,0.2373416573,
20.35,0.2954251766,0.2793227513,
20.384,0.337279886,0.2954251766,
20.417,0.3548476398,0.3259725763,
20.45,0.3726732433,0.3548476398,
20.484,0.3886449933,0.3678575458,
20.518,0.4218699336,0.3925451875,
20.552,0.4329828024,0.4167942038,
20.585,0.449329555,0.4385721154,
20.617,0.4640350044,0.4505026913,
20.65,0.4840528369,0.4612353722,
20.684,0.4907097518,0.4840528369,
20.717,0.4960621595,0.4889113449,
20.75,0.5019994974,0.4976661682,
20.788,0.5178759694,0.5019994974,
20.817,0.5240588188,0.5135868419,
20.85,0.5311047435,0.5235196405,
20.884,0.5383161902,0.5286620649,
20.918,0.5459949374,0.538516329,
20.95,0.5467774868,0.544120615,
20.984,0.5531200767,0.5478699009,
21.017,0.551815331,0.5524990007,
21.05,0.5528794527,0.5515606689,
21.084,0.547845602,0.5523373115,
21.117,0.5370634794,0.5472811588,
21.15,0.519567728,0.5394118936,
21.185,0.5037066936,0.5152827711,
21.217,0.4852703214,0.5037066936,
21.251,0.4678423405,0.4902510219,
21.284,0.4511075318,0.463598131,
21.317,0.4158800244,0.4513843349,
21.35,0.3903789818,0.4089907594,
21.384,0.3754307032,0.3903789818,
21.417,0.356335789,0.3794690735,
21.45,0.3556161225,0.356335789,
21.484,0.3498633802,0.3558105449,
21.517,0.3525158465,0.3502126368,
21.55,0.3539061248,0.3521485228,
21.591,0.3533081412,0.3531632088,
21.617,0.3505611122,0.3533081412,
21.651,0.3491978943,0.3513032391,
21.684,0.3464821875,0.3484642293,
21.717,0.3348285258,0.3464821875,
21.75,0.3331877291,0.3337764405,
21.784,0.325734973,0.3325789153,
21.817,0.3172544539,0.3271395675,
21.85,0.3017134666,0.3146953537,
21.884,0.2955349982,0.3033528607,
21.917,0.2934827805,0.2946792274,
21.95,0.2875585556,0.293181429,
21.984,0.2868463397,0.2870615177,
22.017,0.2886581421,0.2865417114,
22.05,0.2921047509,0.2895892649,
22.084,0.2971217334,0.2921047509,
22.117,0.3090353906,0.2957663644,
22.15,0.3161111474,0.3093331512,
22.184,0.3320172429,0.3144973483,
22.217,0.3393349648,0.3320313568,
22.25,0.3624984622,0.3373721506,
22.284,0.3777446747,0.3632440673,
22.317,0.399868995,0.3743714208,
22.35,0.4496564269,0.4069649767,
22.384,0.4696125388,0.4433020246,
22.417,0.4849606752,0.4737589332,
22.45,0.5118075609,0.4849606752,
22.484,0.5243992805,0.5152092922,
22.518,0.5506978035,0.5243992805,
22.55,0.5636446476,0.5435930942,
22.584,0.573412478,0.5635537486,
22.617,0.595390141,0.5706827389,
22.65,0.6119118333,0.595390141,
22.684,0.6114320755,0.6117822237,
22.717,0.6138724685,0.6114320755,
22.75,0.625911057,0.6171247679,
22.784,0.6253222823,0.625911057,
22.817,0.6310814619,0.6268781605,
22.85,0.6316174269,0.6310814619,
22.884,0.6290509105,0.6314726326,
22.917,0.6110523939,0.6271092149,
22.95,0.5735957623,0.6139731094,
22.984,0.5583959818,0.5735957623,
23.017,0.51602,0.5625022969,
23.05,0.4850665331,0.514471368,
23.084,0.4582505226,0.4918801725,
23.117,0.430642128,0.4492659435,
23.15,0.3904817104,0.4291161282,
23.184,0.3744817972,0.3861592345,
23.217,0.3508048356,0.3744817972,
23.25,0.3398720324,0.3478512709,
