"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
12.683,0.268328506,0.2721149039,
12.716,0.2759171091,0.2631336342,
12.749,0.2742298079,0.2652630286,
12.783,0.2562672685,0.2378114471,
12.816,0.2505260572,0.2081571437,
12.849,0.2156228943,0.2015596083,
12.883,0.2063142875,0.191364448,
12.916,0.1831192165,0.1464324925,
12.95,0.1827288959,0.09312543349,
12.983,0.152864985,0.09564133603,
13.016,0.106250867,0.0732766558,
13.049,0.09128267206,0.06973628358,
13.083,0.0765533116,0.04975890026,
13.116,0.06947256715,0.06352781647,
13.149,0.04951780051,0.04317644029,
13.183,0.06705563294,0.04835440568,
13.216,0.04635288057,0.02264496567,
13.249,0.07670881137,0.01480510717,
13.283,0.03528993133,0.005680764429,
13.316,0.02961021434,-0.006640673949,
13.349,0.01136152886,-0.03268026059,
13.384,0.006718652101,-0.002756840815,
13.416,-0.03536052118,0.00472593532,
13.449,-0.005513681629,0.006973226857,
13.483,0.00945187064,-0.001109918481,
13.516,0.01394645371,0.02324810447,
13.549,0.007780163037,0.03634733646,
13.583,0.02649620894,0.04368061828,
13.616,0.03269467293,0.01392357955,
13.649,0.04736123656,0.01699901444,
13.683,0.01784715911,0.03328778828,
13.716,-0.006001971115,0.02323446925,
13.749,0.02657557657,0.046360266,
13.783,0.006468938498,0.05218067933,
13.816,0.03272053201,0.06099113751,
13.85,0.04436135866,0.05715520249,
13.883,0.04198227501,0.03309461402,
13.916,0.04431040497,0.03362837269,
13.949,0.01618922803,0.05734903592,
13.983,0.01725674538,0.0502264447,
14.016,0.04469807183,0.03911204093,
14.049,0.0404528894,0.03696107181,
14.083,0.01822408186,0.03701847097,
14.117,0.01392214363,0.04918664421,
14.151,0.01403694193,0.05497735428,
14.184,0.02837328842,0.06581524104,
14.216,0.02995470856,0.06925819713,
14.249,0.05163048209,0.07575407102,
14.283,0.04851639427,0.07318754235,
14.316,0.06150814204,0.08304227644,
14.349,0.05637508469,0.0825449384,
14.387,0.06608455288,0.0895140401,
14.416,0.06508987681,0.08547848019,
14.449,0.06902808019,0.1216591764,
14.483,0.07095696038,0.1179088065,
14.517,0.09331835286,0.1459524578,
