"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
4.697,0.001895096208,7.72,0.1212488115,7.72,0.14962475,
4.717,0.001895054574,7.752,0.128274954,7.764,0.1527203918,
4.737,0.001895013009,7.786,0.1340901496,7.795,0.1556313485,
4.757,0.001898159244,7.819,0.1389323265,7.84,0.1579536647,
4.777,0.00191053484,7.853,0.1447849096,7.86,0.1588812768,
4.797,0.001925261139,7.886,0.1537212086,7.895,0.1605713814,
4.817,0.001936339474,7.919,0.1611595127,7.931,0.1614460051,
4.837,0.00194533331,7.952,0.1673567571,7.972,0.1628056467,
4.857,0.001953448372,7.984,0.172513274,7.993,0.1647341698,
4.877,0.001960567746,8.017,0.1762690131,8.031,0.1680026799,
4.897,0.001966703987,8.059,0.1812554379,8.068,0.1711332202,
4.917,0.001968660408,8.086,0.1854246625,8.107,0.1731906533,
4.937,0.001967903355,8.119,0.1889001942,8.125,0.1742977202,
4.957,0.001965825281,8.155,0.1938473333,8.167,0.1760032326,
4.977,0.001964474012,8.187,0.1979626595,8.197,0.1792255491,
4.997,0.001964090685,8.222,0.2032464157,8.232,0.1812118441,
5.017,0.001965364087,8.254,0.2076429488,8.269,0.1825574785,
5.037,0.001964356476,8.286,0.2081900848,8.303,0.1829377413,
5.057,0.001958745785,8.319,0.2086507296,8.323,0.1827296317,
5.077,0.001952600608,8.353,0.2090394289,8.374,0.1869296581,
5.097,0.001947250251,8.386,0.209446854,8.389,0.1887118816,
5.117,0.001940158764,8.419,0.2116528632,8.436,0.1917407215,
5.137,0.001931275048,8.453,0.2135025286,8.458,0.1933644712,
5.157,0.001920998257,8.489,0.2150449896,8.496,0.1953237057,
5.177,0.001912452438,8.518,0.216341264,8.53,0.196863085,
5.197,0.001909140045,8.556,0.2126216565,8.562,0.2014374435,
5.217,0.001903175157,8.591,0.2113413983,8.597,0.2037438303,
5.237,0.001859997237,8.614,0.2102715543,8.629,0.2058773339,
5.257,0.001765061004,8.653,0.2093424931,8.672,0.2091428041,
5.277,0.001738449263,8.684,0.2085651627,8.704,0.2112162113,
5.297,0.001719927047,8.72,0.2078837519,8.718,0.2119721472,
5.317,0.001716143105,8.752,0.2091684433,8.758,0.2133527994,
5.337,0.001734575077,8.787,0.2242971765,8.806,0.2205423862,
5.357,0.001782406964,8.818,0.2369427032,8.836,0.2233760059,
5.377,0.001865686914,8.853,0.2493388772,8.868,0.2254877985,
5.397,0.00198889175,8.886,0.2597031376,8.906,0.2259699553,
5.417,0.002155400826,8.919,0.2557133805,8.922,0.2257073969,
5.437,0.002367587423,8.957,0.252378084,8.967,0.2284311056,
5.457,0.002626606086,8.988,0.2495667204,9.002,0.231577903,
5.477,0.002932003571,9.019,0.2471877904,9.041,0.2338481396,
5.497,0.003281825867,9.055,0.2470558567,9.065,0.2340177596,
5.517,0.003673481698,9.086,0.2504061014,9.101,0.2346606553,
5.537,0.004104474928,9.119,0.2531973852,9.125,0.2345183492,
5.557,0.004572783393,9.152,0.2555264235,9.159,0.2335972637,
5.577,0.005075926698,9.193,0.2574675018,9.197,0.2384412438,
5.597,0.005610103908,9.224,0.2593687001,9.241,0.2421931028,
5.617,0.006172420229,9.258,0.2609482451,9.266,0.2436669469,
5.637,0.006762736149,9.286,0.2622499454,9.289,0.2445441484,
5.657,0.0073810236,9.319,0.26518856,9.335,0.2451010197,
5.677,0.008027062358,9.35,0.2676232836,9.371,0.2449504137,
5.697,0.008700881277,9.387,0.2696508643,9.403,0.2494104207,
5.717,0.009403549568,9.409,0.2753951445,9.438,0.2517031133,
5.737,0.01013790054,9.453,0.2801919422,9.474,0.2536306083,
5.757,0.01090374871,9.487,0.2841929516,9.505,0.2536670268,
5.777,0.01169963446,9.519,0.2875337264,9.537,0.2525675893,
5.797,0.01252386853,9.555,0.2857792488,9.557,0.2517373562,
5.817,0.01337544191,9.589,0.2843194907,9.6,0.2560752928,
5.837,0.0142557753,9.621,0.2849601957,9.625,0.2564731836,
5.857,0.01516408402,9.648,0.2854959439,9.672,0.2577592134,
5.877,0.01609758108,9.674,0.2859440183,9.694,0.2577553391,
5.897,0.01705303063,9.724,0.2822013715,9.738,0.2568956316,
5.917,0.01802814598,9.753,0.2790844902,9.758,0.255897373,
5.937,0.01902300954,9.786,0.2764881674,9.803,0.2596935928,
5.957,0.02003660287,9.819,0.2743253675,9.824,0.2610416114,
5.977,0.02106736766,9.852,0.2725237345,9.869,0.2625519633,
5.997,0.02211410919,9.886,0.2760866918,9.905,0.2626129389,
6.017,0.0231769265,9.919,0.2790550477,9.94,0.2616804242,
6.037,0.02425763716,9.947,0.2815276883,9.958,0.2607476413,
6.057,0.0253562121,9.987,0.283587224,9.997,0.2654731274,
6.077,0.02647113952,10.019,0.2853027064,10.019,0.2659433782,
6.097,0.02760072226,10.053,0.295071121,10.064,0.2680903077,
6.117,0.02874407197,10.086,0.3032160064,10.104,0.2681922317,
6.137,0.02990156689,10.121,0.3100020319,10.127,0.2675973177,
6.157,0.03107171505,10.154,0.3156562254,10.146,0.2679482698,
6.177,0.03225221282,10.185,0.320366604,10.202,0.2720328569,
6.197,0.03344122124,10.224,0.3242913025,10.221,0.2724682987,
