"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
4.306,0.3000000001,-1.109437466,-1.115784205,
4.326,0.3000000002,-1.122698307,-1.116690761,
4.346,0.3000000002,-1.133293033,-1.13191887,
4.366,0.3000000002,-1.132637858,-1.11245756,
4.386,0.3000000002,-1.110653877,-1.110824382,
4.406,0.2999983898,-1.084081888,-1.069274927,
4.426,0.3000000011,-1.044792652,-1.065788063,
4.446,0.3000000009,-0.999682188,-1.005236959,
4.466,0.3000000007,-0.9679216146,-0.9603784364,
4.486,0.3000000005,-0.9460551739,-0.9565745342,
4.506,0.3000000003,-0.9398738146,-0.9287120627,
4.526,0.3000000002,-0.919611752,-0.9263737832,
4.546,0.3000000002,-0.9180053473,-0.9031839562,
4.566,0.3000000001,-0.8950016499,-0.9012918022,
4.586,0.3000000001,-0.8819978237,-0.8629016429,
4.606,0.3000000002,-0.8409603238,-0.8596798456,
4.626,0.3000000002,-0.8078544736,-0.8122209859,
4.646,0.3000000002,-0.7889982462,-0.8082381458,
4.666,0.3000000002,-0.7701485157,-0.7471579824,
4.686,0.3000000002,-0.7194423676,-0.7420320678,
4.706,0.3000000001,-0.6881437898,-0.6926431621,
4.726,0.3000000002,-0.67202425,-0.647077862,
4.746,0.3000000002,-0.6429287791,-0.6432782512,
4.766,0.3000000001,-0.6124103665,-0.6429593826,
4.786,0.3000000001,-0.6034616232,-0.6035030666,
4.806,0.3000000001,-0.5969390273,-0.6042794457,
4.826,0.3,-0.6088649631,-0.6043445348,
4.846,0.3000000002,-0.6190009117,-0.6196414867,
4.866,0.3000000001,-0.6282708049,-0.6209252355,
4.886,0.3000000002,-0.630766511,-0.6299710558,
4.906,0.3000000001,-0.6242932081,-0.6111313743,
4.926,0.3000000001,-0.6093722582,-0.6095009645,
4.946,0.3000000001,-0.5978230238,-0.609364159,
4.966,0.3000000001,-0.5700832605,-0.5702226084,
4.986,0.3000000001,-0.5356913209,-0.5218523229,
5.006,0.3000000001,-0.5174418092,-0.5177930969,
5.026,0.3000000001,-0.4828529656,-0.4710092354,
5.046,0.3000000001,-0.4667440057,-0.4670831493,
5.066,0.3,-0.4432067871,-0.4315806053,
5.086,0.3000000001,-0.4283312857,-0.4286012119,
5.106,0.3000000001,-0.3973841369,-0.3885199594,
5.126,0.3000000002,-0.3737617433,-0.3851563214,
5.146,0.3000000001,-0.3547209799,-0.3572801093,
5.166,0.3,-0.3471773267,-0.345307582,
5.186,0.3000000001,-0.3442054093,-0.3443028088,
5.206,0.3000000001,-0.328935802,-0.3222047228,
5.226,0.3,-0.3113104105,-0.3203485917,
5.246,0.3000000001,-0.2962409258,-0.2982673715,
5.266,0.3,-0.2923079133,-0.2836512574,
5.286,0.3,-0.2823085189,-0.2824247998,
5.306,0.3000000001,-0.2650803626,-0.2657014992,
5.326,0.3000000001,-0.27068156,-0.2642978394,
5.346,0.3000000001,-0.2893694043,-0.287248769,
5.366,0.3000000002,-0.3010190129,-0.2891745898,
5.386,0.3000000001,-0.3147954643,-0.3308931052,
5.406,0.3,-0.3347173035,-0.3343941889,
5.426,0.3000000001,-0.3830558658,-0.3992899015,
5.446,0.3000000001,-0.4052371979,-0.4047641232,
5.466,0.3000000001,-0.4848861098,-0.4781882712,
5.486,0.3000000001,-0.5128931999,-0.5441818273,
5.506,0.3000000001,-0.5501989722,-0.5497102973,
5.526,0.3000000001,-0.5630685687,-0.5688927515,
5.546,0.3000000001,-0.5767141581,-0.5704398327,
5.566,0.3,-0.5804741383,-0.5795855243,
5.586,0.3000000001,-0.5799031854,-0.5803530203,
5.606,0.3000000001,-0.5775546432,-0.5777429062,
5.626,0.3,-0.5645011067,-0.5775238329,
5.646,0.3000000001,-0.5574116707,-0.5529627462,
5.666,0.3,-0.5429834127,-0.5509015772,
5.686,0.300000001,-0.5321630836,-0.5201075168,
5.706,0.3000000011,-0.517268002,-0.5175232701,
5.726,0.3000000008,-0.4785348177,-0.4687743922,
5.746,0.3000000007,-0.4495737255,-0.4646705508,
5.766,0.3000000003,-0.4341028035,-0.4190819771,
5.786,0.3000000002,-0.3992061019,-0.4152562091,
5.806,0.3000000002,-0.370542109,-0.3742987725,
5.826,0.3000000002,-0.3423928618,-0.3310153621,
5.846,0.3000000002,-0.3143471777,-0.3273830298,
5.866,0.3000000002,-0.2984253764,-0.2901947603,
5.886,0.3000000002,-0.275365293,-0.2870739712,
5.906,0.3000000001,-0.2523533106,-0.2552615924,
5.926,0.3000000001,-0.2388113141,-0.2042565807,
5.946,0.3000000002,-0.1995930076,-0.1999761572,
5.966,0.3000000001,-0.1500242501,-0.1311132295,
5.986,0.3000000002,-0.1248138919,-0.1253341677,
6.006,0.3000000002,-0.08272747695,-0.06709754862,
6.026,0.3000000001,-0.03584229201,-0.0622101839,
6.046,0.3000000001,0.008398734033,0.002442487187,
6.066,0.3000000001,0.03029268607,0.007913390078,
6.086,0.3,0.06688047945,0.06194641045,
6.106,0.3000000002,0.1042044237,0.1187529706,
6.126,0.3000000001,0.1398248672,0.1235038978,
6.146,0.3000000001,0.1528209895,0.1576189385,
6.166,0.3,0.1618113369,0.164272242,
6.186,0.3000000001,0.1648840457,0.1648538505,
6.206,0.3000000001,0.1663650423,0.1645722608,
6.226,0.3000000001,0.1645232588,0.1645487303,
6.246,0.3,0.1624867618,0.1591324071,
6.266,0.3000000001,0.1524824202,0.158649723,
6.286,0.3000000001,0.1477066576,0.1433146939,
6.306,0.3,0.1253999174,0.1079694009,
6.326,0.3000000001,0.1047386825,0.1049940056,
6.346,0.3000000001,0.09667496383,0.09960858532,
6.366,0.3000000001,0.1042677462,0.1210090072,
6.386,0.3000000001,0.1229869574,0.1228359105,
6.406,0.3000000001,0.1469758302,0.1530188931,
6.426,0.3,0.1631750166,0.1555517622,
6.446,0.3000000001,0.1661042869,0.1652333627,
6.466,0.3,0.1648431271,0.1660174162,
6.486,0.3000000001,0.1630140692,0.1632523363,
6.506,0.3000000001,0.1523457319,0.1382210891,
6.526,0.3,0.1359357089,0.1361205579,
6.546,0.3000000001,0.1227260605,0.1120675956,
6.566,0.3,0.1134459898,0.1100491455,
6.586,0.3000000001,0.09912847728,0.09199951483,
6.606,0.3,0.0825028941,0.09050332973,
6.626,0.3,0.07503084093,0.06730931756,
6.646,0.3,0.05899396539,0.06536279762,
6.666,0.3000000001,0.05651732534,0.05931323795,
6.686,0.3,0.06347848475,0.05880547258,
6.706,0.3000000001,0.06449938565,0.06582779864,
6.726,0.3,0.06597994268,0.06641709712,
6.746,0.3,0.05349452794,0.05458599834,
6.766,0.3000000001,0.03707275912,0.03611174325,
6.786,0.3000000001,0.03007649072,0.03456140824,
6.806,0.3000000001,0.02471536025,0.02178003639,
6.826,0.3,0.01896480471,0.01672112986,
6.846,0.3,0.01627863944,0.01629659141,
6.866,0.29999105,0.01241733413,0.01118441241,
6.886,0.2999967386,0.01071482338,0.01075538694,
6.906,0.2999967344,0.01177717745,0.01728351752,
6.926,0.299996747,0.02193107642,0.01782979145,
6.946,0.299996743,0.02831761166,0.02743704185,
6.966,0.2999967757,0.02977694571,0.02456392257,
6.986,0.2999967875,0.01590909436,-0.008502060286,
7.006,0.2999967608,-0.01153071877,-0.01126604321,
7.026,0.2999968052,-0.02667412534,-0.06442275151,
7.046,0.2999968114,-0.0693038255,-0.06888365506,
7.066,0.2999967781,-0.1112373546,-0.1220993135,
7.086,0.2999968082,-0.1269592047,-0.1265651438,
7.106,0.2999968443,-0.1481766403,-0.1530886756,
7.126,0.3000000013,-0.1620091945,-0.1734937057,
7.146,0.3,-0.1753479987,-0.1751856134,
7.166,0.3000000001,-0.1880483627,-0.1916627757,
7.186,0.3000000002,-0.1931796074,-0.1930401407,
7.206,0.3000000001,-0.1968610585,-0.1982961536,
7.226,0.29999112,-0.2025707513,-0.2113466691,
7.246,0.3,-0.2125556767,-0.2124417551,
7.266,0.3,-0.2141879499,-0.2109698448,
7.286,0.3,-0.2108050436,-0.2108463817,
7.306,0.3,-0.2045108974,-0.198197698,
7.326,0.3,-0.1892393827,-0.1711075116,
7.346,0.3,-0.1686632186,-0.1688340586,
7.366,0.3,-0.1390724331,-0.1279858107,
7.386,0.3,-0.1124607474,-0.1245577853,
7.406,0.3,-0.08877702802,-0.09179613941,
7.426,0.3,-0.07723448426,-0.06356602163,
7.446,0.3,-0.0609620139,-0.06119696101,
7.466,0.3,-0.05799191445,-0.05807724887,
7.486,0.3,-0.05777351931,-0.05781545907,
7.506,0.3,-0.06265480816,-0.06443502294,
7.526,0.3,-0.06505367905,-0.0649905042,
7.546,0.3,-0.06951631606,-0.07108724219,
7.566,0.3,-0.0738863647,-0.07159883802,
7.586,0.3,-0.07281516492,-0.07250276705,
7.606,0.3,-0.07153873891,-0.07257858146,
7.626,0.3,-0.06669387221,-0.06701833217,
7.646,0.2999961499,-0.06291148812,-0.05983140369,
7.666,0.3000000224,-0.05918557569,-0.05924515737,
7.686,0.3,-0.0592706874,-0.05815625743,
7.706,0.3000000001,-0.0540724434,-0.05806480505,
7.726,0.2999967065,-0.05004296452,-0.04979258604,
7.746,0.2999967571,-0.04672997445,-0.04910515489,
7.766,0.2999967633,-0.04275884479,-0.04330338818,
7.786,0.2999967656,-0.04234601557,-0.04032206246,
7.806,0.2999967598,-0.03995493054,-0.0400718702,
7.826,0.2999967696,-0.0407204479,-0.04005087561,
7.846,0.299996759,-0.04040174559,-0.03965862104,
7.866,0.2999967685,-0.03774738312,-0.03332201753,
7.886,0.299996741,-0.03272847086,-0.03277703084,
7.906,0.2999967441,-0.02580969222,-0.03273132004,
7.926,0.299996775,-0.02136730962,-0.02231978682,
7.946,0.299996776,-0.01671816222,-0.003665006831,
7.966,0.2999967745,-0.002724876627,-0.002099516951,
7.986,0.2999967831,0.005502942018,0.02134189778,
8.006,0.2999967532,0.02348810434,0.02330907757,
8.026,0.2999967721,0.03356468678,0.02347413764,
8.046,0.2999967759,0.04334268346,0.05137117436,
8.066,0.2999967698,0.06357618421,0.08090990687,
8.086,0.2999967778,0.08360161632,0.08338862031,
8.106,0.2999968048,0.1021533906,0.1089463784,
8.126,0.2999967902,0.1200302243,0.1114429804,
8.146,0.2999967648,0.1285722256,0.1356397581,
8.166,0.3000000175,0.1447450221,0.1376660931,
8.186,0.299993509,0.1624427736,0.1607152004,
8.206,0.2999961655,0.1808857322,0.1872779149,
8.226,0.2999961659,0.2005117238,0.18970807,
8.246,0.2999961839,0.206843853,0.2155364177,
8.266,0.2999961746,0.2247853875,0.2176995302,
8.286,0.2999962069,0.2329995185,0.2427415269,
8.306,0.2999962132,0.2548523545,0.2448385213,
8.326,0.2999962316,0.2627080679,0.2734277222,
8.346,0.2999961873,0.2858945429,0.2756738359,
8.366,0.2999961423,0.3103683293,0.306981118,
8.386,0.2999961722,0.325438261,0.3453905111,
8.406,0.2999961801,0.3485201895,0.3486063493,
8.426,0.2999962139,0.3739334047,0.3848917487,
8.446,0.2999962151,0.3878435493,0.3879296509,
8.466,0.2999961965,0.4078054428,0.4186588828,
8.486,0.2999961949,0.4331741929,0.4212356905,
8.506,0.2999999995,0.4471859038,0.4591172995,
8.526,0.3000000001,0.4756750166,0.4622942893,
8.546,0.3000000001,0.4842927456,0.4991745437,
8.566,0.3000000001,0.5157423019,0.5034487259,
8.586,0.3,0.547499001,0.5452124112,
8.606,0.3000000001,0.57402426,0.5930820826,
8.626,0.3000000001,0.5959168673,0.5971077979,
8.646,0.3,0.6472101212,0.6466287061,
8.666,0.3000000001,0.6681935191,0.6508086361,
8.686,0.3000000001,0.7024787068,0.7018111186,
8.706,0.3000000001,0.7365392447,0.7485988877,
8.726,0.3,0.7639870048,0.7539431671,
8.746,0.3000000001,0.783752203,0.8000051638,
8.766,0.3000000001,0.7986470461,0.8038736042,
8.786,0.3,0.8152026534,0.8540649639,
8.806,0.3,0.8530789018,0.8582796418,
8.826,0.3000001688,0.8811997771,0.8948175399,
8.846,0.2999999999,0.9158952832,0.8978836157,
8.866,0.3,0.9475563765,0.9459625727,
8.886,0.3,0.9826418757,0.9962069204,
8.906,0.3,1.000458598,1.004489809,
8.926,0.3,1.032360792,1.047203891,
8.946,0.3000000002,1.061367989,1.050787114,
8.966,0.3000000003,1.084354162,1.098678714,
8.986,0.3000000002,1.095821023,1.100119039,
9.006,0.3000000002,1.13240087,1.145463516,
9.026,0.3,1.145189643,1.149267008,
9.046,0.3,1.181138039,1.194955841,
9.066,0.2999944313,1.217701793,1.195800601,
9.086,0.299994432,1.24597621,1.246054162,
9.106,0.2999944461,1.264477015,1.25027148,
9.126,0.2999944505,1.282271028,1.296396871,
9.146,0.2999944725,1.31430161,1.300267787,
9.166,0.2999944375,1.346819639,1.359339921,
9.186,0.2999944516,1.388225079,1.408883951,
9.206,0.2999944638,1.401926994,1.412975871,
9.226,0.2999944475,1.43486321,1.440990875,
9.246,0.29999444,1.461901307,1.48645081,
9.266,0.2999944388,1.489678383,1.490266938,
9.286,0.2999944122,1.520766497,1.532449609,
9.306,0.2999944023,1.553735852,1.53598952,
9.326,0.2999942017,1.567375183,1.573340186,
9.346,0.2999942001,1.59516108,1.576474526,
9.366,0.2999942172,1.62043488,1.617409977,
9.386,0.2999942252,1.650419235,1.655852056,
9.406,0.2999942016,1.658177733,1.659078083,
9.426,0.2999941747,1.705244064,1.702465286,
9.446,0.2999941883,1.713476419,1.706106135,
9.466,0.299994192,1.732442737,1.742066436,
9.486,0.3,1.758414388,1.775822358,
9.506,0.2999999999,1.779386759,1.77865854,
9.526,0.3000000004,1.806103468,1.81377366,
9.546,0.3,1.824901104,1.816723307,
9.566,0.2999999999,1.848566413,1.845473239,
9.586,0.3000000001,1.860245705,1.875538657,
9.606,0.3000000001,1.877314448,1.878061594,
9.626,0.3000000001,1.894714832,1.902957924,
9.646,0.3000000001,1.915978432,1.905047099,
9.666,0.3000000001,1.930132508,1.938594764,
9.686,0.3000000001,1.954625726,1.940927619,
9.706,0.3,1.975027561,1.97178554,
9.726,0.3000000001,1.991472483,2.001239398,
9.746,0.3000000001,2.000853777,2.003712849,
9.766,0.3000000001,2.02287221,2.029007678,
9.786,0.3000000001,2.030866861,2.031131557,
9.806,0.3000000001,2.047199965,2.053268992,
9.826,0.3000000001,2.068117142,2.055127939,
9.846,0.3000000001,2.074158907,2.080718235,
9.866,0.3000000001,2.083273649,2.082866787,
9.886,0.3,2.101255655,2.108100542,
9.906,0.3,2.11382246,2.110219167,
9.926,0.3000000001,2.124331951,2.131263558,
9.946,0.3000000001,2.141726017,2.133030222,
9.966,0.3000000001,2.158001423,2.15658942,
9.986,0.3000000001,2.174235821,2.183062229,
10.006,0.3,2.184740543,2.185284326,
10.026,0.3000000001,2.193747282,2.201429188,
10.046,0.3,2.211198092,2.205747776,
10.066,0.3000000001,2.215689659,2.224135567,
10.086,0.3,2.228371382,2.225676336,
10.106,0.3,2.241283178,2.24361558,
10.126,0.3,2.247020721,2.25787848,
10.146,0.2999981775,2.25955534,2.259075013,
10.166,0.2999981706,2.273892879,2.278991917,
10.186,0.299998206,2.286842585,2.298168073,
10.206,0.299996915,2.300296068,2.302423452,
10.226,0.2999968958,2.310137749,2.317235434,
10.246,0.2999968998,2.316077232,2.318476705,
10.266,0.2999968882,2.326898336,2.330863997,
10.286,0.2999969137,2.335430622,2.331902014,
10.306,0.3000000184,2.343615055,2.345027197,
10.326,0.2999943767,2.343615055,2.346126298,
10.346,0.3,2.35116744,2.358916357,
10.366,0.2999937282,2.363838434,2.359988005,
10.386,0.2999937411,2.377456427,2.378378103,
10.406,0.2999937473,2.379861832,2.389995627,
