"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
2.856,0.001144947929,4.652,-0.02239449172,4.635,-0.04000460356,
2.876,0.001144938579,4.684,-0.02569493568,4.656,-0.03984196857,
2.896,0.001144929334,4.72,-0.02867342675,4.699,-0.03868054971,
2.916,0.001144910673,4.753,-0.03900398976,4.719,-0.03732891008,
2.936,0.00114486083,4.785,-0.04833628731,4.762,-0.03572328389,
2.956,0.001144783637,4.822,-0.05669437781,4.795,-0.03428392857,
2.976,0.001145605899,4.853,-0.0631163171,4.832,-0.03298090771,
2.996,0.001155013794,4.885,-0.06891734237,4.872,-0.03120353818,
3.016,0.001166941188,4.918,-0.07574654713,4.894,-0.03040633351,
3.036,0.001184143881,4.952,-0.08193090724,4.936,-0.02887064405,
3.056,0.001203622652,4.985,-0.08759301492,4.957,-0.02785982192,
3.076,0.001218862564,5.017,-0.09272042566,4.999,-0.0256546922,
3.096,0.0012339742,5.063,-0.08373305124,5.019,-0.02460825816,
3.116,0.001244557142,5.086,-0.07454800218,5.063,-0.0224466417,
3.136,0.00124798518,5.126,-0.06619125901,5.09,-0.02030836046,
3.156,0.001243769052,5.165,-0.05858155308,5.128,-0.01890353486,
3.176,0.001239911161,5.196,-0.05887058958,5.171,-0.017443683,
3.196,0.001243944314,5.224,-0.05912630592,5.193,-0.01672439463,
3.216,0.00125042491,5.253,-0.05936040273,5.238,-0.01498451177,
3.236,0.001252712434,5.284,-0.05956669938,5.269,-0.01342211291,
3.256,0.001254887681,5.318,-0.05975552144,5.29,-0.01264270302,
3.276,0.001255560179,5.352,-0.05544879022,5.333,-0.01139288303,
3.296,0.00126221892,5.385,-0.05050015429,5.367,-0.01080659404,
3.316,0.001266694104,5.418,-0.04600871817,5.405,-0.009626053274,
3.336,0.001271264203,5.452,-0.04194315506,5.438,-0.008479482494,
3.356,0.001274360099,5.484,-0.03805659441,5.46,-0.007952578366,
3.376,0.001276294335,5.519,-0.03459466076,5.494,-0.006803140976,
3.396,0.001279116377,5.554,-0.03146158157,5.528,-0.006345125381,
3.416,0.001281243986,5.583,-0.02723223919,5.559,-0.005627774168,
3.436,0.00128036021,5.618,-0.02334348905,5.605,-0.004590334371,
3.456,0.001280173757,5.656,-0.01981936728,5.64,-0.003764717374,
3.476,0.001283072632,5.691,-0.01657439888,5.662,-0.003382494673,
3.496,0.001287002672,5.722,-0.01357984456,5.702,-0.002693626564,
3.516,0.001291906462,5.76,-0.01012800821,5.735,-0.001642669085,
3.536,0.00129915837,5.792,-0.006963597467,5.756,-0.001047583995,
3.556,0.001305762128,5.824,-0.004096662082,5.799,0.000167687569,
3.576,0.001310963662,5.854,-0.001459845768,5.835,0.001423257403,
3.596,0.001315699677,5.885,0.0009701988197,5.868,0.003068688326,
3.616,0.00132241429,5.921,0.00317283986,5.903,0.004415296484,
3.636,0.001331420609,5.959,0.005205170799,5.935,0.006249961909,
3.656,0.001338185734,5.993,0.006191890259,5.971,0.008318915032,
3.676,0.001347229444,6.03,0.007088170683,5.987,0.009319649078,
3.696,0.001365542116,6.056,0.008984139017,6.03,0.01164546236,
3.716,0.001403393465,6.085,0.01070292226,6.058,0.01293434575,
3.736,0.001371196012,6.125,0.01229179937,6.101,0.01561165974,
3.756,0.001281180783,6.152,0.01373266076,6.126,0.01662823185,
3.776,0.001144234476,6.195,0.01862820113,6.158,0.01827286556,
3.796,0.0009665489495,6.221,0.02306633986,6.204,0.01991722919,
3.816,0.0007622712846,6.256,0.02710857319,6.223,0.02071396261,
3.836,0.0005457997597,6.287,0.03182549497,6.263,0.02260383405,
3.856,0.000317459776,6.319,0.03611930935,6.298,0.02450681105,
3.876,7.295759081e-05,6.352,0.03974622141,6.333,0.02610355988,
3.896,-0.000191520471,6.385,0.04304661473,6.37,0.02755555324,
3.916,-0.0004787953077,6.419,0.04605250662,6.392,0.02830542251,
3.936,-0.0007904837294,6.454,0.04877652199,6.426,0.02967628092,
3.956,-0.001126902302,6.486,0.05125722434,6.463,0.03113697842,
3.976,-0.001486663644,6.519,0.04649849539,6.5,0.03270856664,
3.996,-0.001867027291,6.552,0.04323797364,6.535,0.03399316221,
4.016,-0.002264322929,6.588,0.04023737382,6.557,0.03457484767,
4.036,-0.002674449105,6.62,0.03751660537,6.6,0.03597881272,
